date,price
2023-01-01,3.189
2023-01-02,3.168
2023-01-03,3.178
2023-01-04,3.152
2023-01-05,3.154
2023-01-06,3.146
2023-01-07,3.119
2023-01-08,3.12
2023-01-09,3.092
2023-01-10,3.088
2023-01-11,3.062
2023-01-12,3.038
2023-01-13,3.033
2023-01-14,3.053
2023-01-15,3.03
2023-01-16,3.014
2023-01-17,3.021
2023-01-18,3.048
2023-01-19,3.053
2023-01-20,3.047
2023-01-21,3.075
2023-01-22,3.048
2023-01-23,3.07
2023-01-24,3.057
2023-01-25,3.036
2023-01-26,3.013
2023-01-27,3.001
2023-01-28,3.02
2023-01-29,3.001
2023-01-30,3.006
2023-01-31,3.014
2023-02-01,3.007
2023-02-02,3.009
2023-02-03,2.983
2023-02-04,2.957
2023-02-05,2.939
2023-02-06,2.95
2023-02-07,2.946
2023-02-08,2.934
2023-02-09,2.94
2023-02-10,2.937
2023-02-11,2.925
2023-02-12,2.942
2023-02-13,2.954
2023-02-14,2.939
2023-02-15,2.943
2023-02-16,2.945
2023-02-17,2.967
2023-02-18,2.981
2023-02-19,2.969
2023-02-20,2.997
2023-02-21,2.974
2023-02-22,2.969
2023-02-23,2.985
2023-02-24,2.964
2023-02-25,2.963
2023-02-26,2.936
2023-02-27,2.946
2023-02-28,2.962
2023-03-01,2.966
2023-03-02,2.989
2023-03-03,2.977
2023-03-04,2.989
2023-03-05,2.995
2023-03-06,3.0
2023-03-07,2.997
2023-03-08,3.017
2023-03-09,3.044
2023-03-10,3.042
2023-03-11,3.052
2023-03-12,3.026
2023-03-13,3.038
2023-03-14,3.047
2023-03-15,3.076
2023-03-16,3.096
2023-03-17,3.083
2023-03-18,3.076
2023-03-19,3.086
2023-03-20,3.057
2023-03-21,3.055
2023-03-22,3.035
2023-03-23,3.012
2023-03-24,2.986
2023-03-25,3.002
2023-03-26,2.98
2023-03-27,2.965
2023-03-28,2.958
2023-03-29,2.98
2023-03-30,2.955
2023-03-31,2.952
2023-04-01,2.955
2023-04-02,2.978
2023-04-03,2.997
2023-04-04,3.019
2023-04-05,3.006
2023-04-06,3.001
2023-04-07,2.992
2023-04-08,3.015
2023-04-09,3.043
2023-04-10,3.022
2023-04-11,3.002
2023-04-12,2.986
2023-04-13,2.97
2023-04-14,2.969
2023-04-15,2.975
2023-04-16,2.96
2023-04-17,2.931
2023-04-18,2.926
2023-04-19,2.918
2023-04-20,2.922
2023-04-21,2.949
2023-04-22,2.961
2023-04-23,2.962
2023-04-24,2.969
2023-04-25,2.979
2023-04-26,2.952
2023-04-27,2.976
2023-04-28,2.993
2023-04-29,3.016
2023-04-30,3.034
2023-05-01,3.027
2023-05-02,3.021
2023-05-03,2.997
2023-05-04,3.005
2023-05-05,2.979
2023-05-06,2.953
2023-05-07,2.936
2023-05-08,2.915
2023-05-09,2.906
2023-05-10,2.879
2023-05-11,2.849
2023-05-12,2.828
2023-05-13,2.804
2023-05-14,2.796
2023-05-15,2.767
2023-05-16,2.79
2023-05-17,2.797
2023-05-18,2.776
2023-05-19,2.761
2023-05-20,2.752
2023-05-21,2.743
2023-05-22,2.721
2023-05-23,2.742
2023-05-24,2.771
2023-05-25,2.769
2023-05-26,2.768
2023-05-27,2.743
2023-05-28,2.72
2023-05-29,2.71
2023-05-30,2.696
2023-05-31,2.716
2023-06-01,2.695
2023-06-02,2.667
2023-06-03,2.694
2023-06-04,2.696
2023-06-05,2.674
2023-06-06,2.677
2023-06-07,2.649
2023-06-08,2.65
2023-06-09,2.679
2023-06-10,2.701
2023-06-11,2.713
2023-06-12,2.698
2023-06-13,2.69
2023-06-14,2.67
2023-06-15,2.687
2023-06-16,2.689
2023-06-17,2.705
2023-06-18,2.695
2023-06-19,2.678
2023-06-20,2.697
2023-06-21,2.726
2023-06-22,2.747
2023-06-23,2.766
2023-06-24,2.785
2023-06-25,2.799
2023-06-26,2.783
2023-06-27,2.784
2023-06-28,2.775
2023-06-29,2.747
2023-06-30,2.719
2023-07-01,2.705
2023-07-02,2.691
2023-07-03,2.703
2023-07-04,2.73
2023-07-05,2.727
2023-07-06,2.753
2023-07-07,2.782
2023-07-08,2.81
2023-07-09,2.801
2023-07-10,2.785
2023-07-11,2.768
2023-07-12,2.75
2023-07-13,2.732
2023-07-14,2.74
2023-07-15,2.764
2023-07-16,2.784
2023-07-17,2.783
2023-07-18,2.792
2023-07-19,2.81
2023-07-20,2.785
2023-07-21,2.795
2023-07-22,2.819
2023-07-23,2.836
2023-07-24,2.851
2023-07-25,2.85
2023-07-26,2.831
2023-07-27,2.848
2023-07-28,2.838
2023-07-29,2.856
2023-07-30,2.884
2023-07-31,2.878
2023-08-01,2.872
2023-08-02,2.899
2023-08-03,2.913
2023-08-04,2.893
2023-08-05,2.87
2023-08-06,2.849
2023-08-07,2.874
2023-08-08,2.892
2023-08-09,2.871
2023-08-10,2.891
2023-08-11,2.919
2023-08-12,2.929
2023-08-13,2.92
2023-08-14,2.923
2023-08-15,2.901
2023-08-16,2.871
2023-08-17,2.9
2023-08-18,2.909
2023-08-19,2.91
2023-08-20,2.936
2023-08-21,2.932
2023-08-22,2.955
2023-08-23,2.974
2023-08-24,2.957
2023-08-25,2.942
2023-08-26,2.93
2023-08-27,2.914
2023-08-28,2.919
2023-08-29,2.905
2023-08-30,2.9
2023-08-31,2.878
2023-09-01,2.902
2023-09-02,2.894
2023-09-03,2.891
2023-09-04,2.896
2023-09-05,2.92
2023-09-06,2.916
2023-09-07,2.941
2023-09-08,2.941
2023-09-09,2.943
2023-09-10,2.944
2023-09-11,2.915
2023-09-12,2.912
2023-09-13,2.893
2023-09-14,2.863
2023-09-15,2.881
2023-09-16,2.861
2023-09-17,2.859
2023-09-18,2.873
2023-09-19,2.876
2023-09-20,2.866
2023-09-21,2.867
2023-09-22,2.87
2023-09-23,2.887
2023-09-24,2.864
2023-09-25,2.867
2023-09-26,2.852
2023-09-27,2.839
2023-09-28,2.855
2023-09-29,2.856
2023-09-30,2.859
2023-10-01,2.875
2023-10-02,2.9
2023-10-03,2.896
2023-10-04,2.903
2023-10-05,2.903
2023-10-06,2.904
2023-10-07,2.916
2023-10-08,2.913
2023-10-09,2.915
2023-10-10,2.914
2023-10-11,2.94
2023-10-12,2.952
2023-10-13,2.975
2023-10-14,3.001
2023-10-15,2.987
2023-10-16,2.99
2023-10-17,3.017
2023-10-18,3.037
2023-10-19,3.015
2023-10-20,2.993
2023-10-21,2.989
2023-10-22,2.964
2023-10-23,2.948
2023-10-24,2.922
2023-10-25,2.933
2023-10-26,2.95
2023-10-27,2.974
2023-10-28,2.953
2023-10-29,2.966
2023-10-30,2.975
2023-10-31,2.954
2023-11-01,2.977
2023-11-02,3.005
2023-11-03,2.988
2023-11-04,3.015
2023-11-05,3.009
2023-11-06,3.008
2023-11-07,3.038
2023-11-08,3.058
2023-11-09,3.037
2023-11-10,3.033
2023-11-11,3.034
2023-11-12,3.025
2023-11-13,3.006
2023-11-14,2.995
2023-11-15,3.009
2023-11-16,2.98
2023-11-17,2.983
2023-11-18,2.98
2023-11-19,2.951
2023-11-20,2.941
2023-11-21,2.948
2023-11-22,2.949
2023-11-23,2.923
2023-11-24,2.952
2023-11-25,2.969
2023-11-26,2.997
2023-11-27,2.974
2023-11-28,2.96
2023-11-29,2.932
2023-11-30,2.949
2023-12-01,2.935
2023-12-02,2.913
2023-12-03,2.908
2023-12-04,2.933
2023-12-05,2.952
2023-12-06,2.937
2023-12-07,2.916
2023-12-08,2.941
2023-12-09,2.946
2023-12-10,2.958
2023-12-11,2.933
2023-12-12,2.907
2023-12-13,2.918
2023-12-14,2.913
2023-12-15,2.888
2023-12-16,2.914
